product_category_name_english,order_year,order_month,category_items,category_orders,category_gmv,category_freight
stationery,2017,2017-05,66,62,6049.979999999996,1097.6500000000003
tablets_printing_image,2017,2017-05,6,6,624.99,69.24
telephony,2017,2017-05,224,204,9264.099999999973,3386.86
toys,2017,2017-05,198,194,20878.050000000043,3282.3900000000003
watches_gifts,2017,2017-05,117,108,21465.95000000002,1988.2800000000002
NULL,2017,2017-05,95,85,7651.939999999995,1651.3899999999996
air_conditioning,2017,2017-06,10,8,1284.53,183.37
art,2017,2017-06,10,5,421.7,210.09
audio,2017,2017-06,11,11,1671.0,147.24
auto,2017,2017-06,102,93,12170.879999999994,1968.7100000000003
baby,2017,2017-06,76,70,6995.739999999997,1234.1599999999999
bed_bath_table,2017,2017-06,381,334,34776.31000000022,6490.3100000000095
books_general_interest,2017,2017-06,21,20,1940.0800000000006,397.2600000000001
books_imported,2017,2017-06,2,1,99.0,30.2
books_technical,2017,2017-06,2,2,145.9,42.629999999999995
christmas_supplies,2017,2017-06,3,2,184.7,61.550000000000004
cine_photo,2017,2017-06,1,1,79.0,33.91
computers_accessories,2017,2017-06,252,211,24246.01000000005,4273.790000000002
consoles_games,2017,2017-06,30,27,5389.0199999999995,565.6000000000001
construction_tools_construction,2017,2017-06,8,4,376.37000000000006,98.94
cool_stuff,2017,2017-06,195,191,28476.510000000064,4121.72
costruction_tools_garden,2017,2017-06,4,3,434.69000000000005,65.71
drinks,2017,2017-06,1,1,49.99,19.21
dvds_blu_ray,2017,2017-06,4,4,126.69,73.05
electronics,2017,2017-06,42,40,2100.0400000000004,625.0
fashio_female_clothing,2017,2017-06,3,3,154.8,44.5
fashion_bags_accessories,2017,2017-06,83,77,6831.029999999996,1303.5899999999997
fashion_childrens_clothes,2017,2017-06,1,1,110.0,8.96
fashion_male_clothing,2017,2017-06,10,8,569.6899999999999,185.12999999999997
fashion_shoes,2017,2017-06,20,17,1351.2,384.6700000000001
fashion_sport,2017,2017-06,6,6,495.49,111.99999999999999
fashion_underwear_beach,2017,2017-06,1,1,3.9,15.1
fixed_telephony,2017,2017-06,12,12,933.6700000000001,207.75999999999996
food,2017,2017-06,1,1,149.9,21.89
food_drink,2017,2017-06,2,2,57.4,25.380000000000003
furniture_bedroom,2017,2017-06,2,2,308.99,42.69
furniture_decor,2017,2017-06,225,177,15874.33999999997,3909.3199999999956
furniture_living_room,2017,2017-06,14,11,1417.5,445.68
garden_tools,2017,2017-06,110,98,12552.16999999999,2543.24
health_beauty,2017,2017-06,250,230,24053.590000000084,3893.7699999999973
home_appliances,2017,2017-06,43,42,2507.1900000000005,636.4100000000002
home_appliances_2,2017,2017-06,6,6,1213.87,221.2
home_comfort_2,2017,2017-06,1,1,12.9,15.1
home_confort,2017,2017-06,18,18,3056.1900000000005,296.51
home_construction,2017,2017-06,8,4,1992.3000000000002,148.88000000000002
housewares,2017,2017-06,327,285,22757.920000000053,5857.2400000000025
industry_commerce_and_business,2017,2017-06,2,2,276.97,65.19999999999999
kitchen_dining_laundry_garden_furniture,2017,2017-06,4,4,374.8,167.79000000000002
luggage_accessories,2017,2017-06,55,54,6832.689999999994,1573.3900000000003
market_place,2017,2017-06,16,15,1258.9500000000003,232.91
music,2017,2017-06,4,4,1066.9,74.22
